Statement #,Statement Card Text,Choice #,Choice Card Text
1,I love it most when you look at me like _______________.,1,A slow dance in the kitchen.
2,Your skin feels like _______________.,2,A massage with no end in sight.
3,Just thinking about the way you _______________ drives me crazy.,3,Whispering something wicked.
4,I want you to _______________ me right now.,4,Wearing absolutely nothing.
5,Your favorite thing about me is _______________.,5,Laughing until we can't breathe.
6,The best secret we share is _______________.,6,"A deep, lingering kiss."
7,I'm completely mesmerized when you _______________.,7,Stealing a private moment.
8,The way you _______________ is driving me wild.,8,Unlocking a new fantasy.
9,You look incredibly _______________ in those clothes.,9,Knowing exactly how to push my buttons.
10,I'm dreaming about the time we _______________.,10,Making me forget my own name.
11,Nothing beats the feeling of _______________.,11,Reading between the lines.
12,Your touch makes me _______________.,12,A surprise weekend getaway.
13,I can't wait to _______________ you tonight.,13,Running your hands through my hair.
14,The thought of _______________ makes everything better.,14,An accidental touch that lingers.
15,"If you _______________ right now, I'd _______________.",15,A gaze that says it all.
16,That look you're giving me means _______________.,16,A playful bite.
17,I'm imagining you _______________ right now.,17,Sharing a scandalous memory.
18,You're so good at _______________.,18,Your eyes locking with mine across the room.
19,We should _______________ more often.,19,A late-night adventure.
20,I love it when you _______________.,20,The smell of your favorite perfume.
21,Let's do something _______________ tonight.,21,A teasing look.
22,Your _______________ is driving me crazy.,22,A midnight snack in bed.
23,I want to _______________ you until _______________.,23,Exploring the hidden parts of the house.
24,You look so _______________ when _______________.,24,Holding hands in public.
25,I can't stop thinking about _______________.,25,Whispering secrets into my ear.
26,The way you _______________ makes my heart race.,26,Waking up next to you.
27,I have a secret _______________.,27,A quiet conversation late at night.
28,Promise me you won't _______________.,28,A knowing smirk.
29,You're my favorite _______________.,29,A shared look that needs no words.
30,I'm ready to _______________ right now.,30,The way you fit against me.
,,31,Your laugh.
,,32,The brush of your fingers.
,,33,A late-night drive.
,,34,Your smile.
,,35,The sound of your voice.
,,36,Remembering our first kiss.
,,37,Planning our next big adventure.
,,38,Your handwriting on a note.
,,39,"A simple, loving gesture."
,,40,The way you support me.
,,41,Just being near you.
,,42,A gentle kiss on the forehead.
,,43,A warm embrace.
,,44,Your constant encouragement.
,,45,A fun inside joke.
,,46,A shared moment of joy.
,,47,Your patience.
,,48,A peaceful evening together.
,,49,Looking at old photos.
,,50,Your thoughtful surprises.
,,51,The way you make me feel special.
,,52,Everything about you.
